Chemical Name,ToxPi[AO],,Chemical Name,ToxPi[A] Ecdysis Disruption,,Chemical Name,ToxPi[B] Neurotoxicity,,Chemical Name,ToxPi[C] Mitochondrial Toxicity,,Chemical Name,ToxPi[D] Oxidative Stress
Targaprimir-96,0.4367 ,,Limnantheoside C,0.4961 ,,Crystal violet,0.4036 ,,Potassium Dichromate,0.7131 ,,Aflatoxin B1,0.5394 
"4,4'-Dichlorodiphenyl sulfone",0.35935,,"4,4'-Dichlorodiphenyl sulfone",0.30136,,"4,4'-Dichlorodiphenyl sulfone",0.32486,,Pyrene,0.53522,,Benzo[a]pyrene,0.39815
Benzo[a]pyrene,0.35706,,Perfluorooctanoic acid,0.28149,,"2,4,6-Tri-tert-butylphenol",0.32416,,"4,4'-Dichlorodiphenyl sulfone",0.51908,,Benzo(ghi)perylene,0.37471
Benzo(ghi)perylene,0.3548,,Benzo(K)Fluoranthene,0.26592,,Benzo(ghi)perylene,0.27506,,"2,4,6-Tri-tert-butylphenol",0.50657,,Benzo(K)Fluoranthene,0.36723
Benzo(K)Fluoranthene,0.34813,,Benzo[a]pyrene,0.24692,,Benzo[a]pyrene,0.26664,,Perfluorooctanoic acid,0.49549,,"4,4'-Dichlorodiphenyl sulfone",0.30904
Perfluorooctanoic acid,0.31609,,Benzo(ghi)perylene,0.24552,,Benzo(K)Fluoranthene,0.26198,,Benzo(ghi)perylene,0.48608,,Perfluorooctanoic acid,0.26641
"2,4,6-Tri-tert-butylphenol",0.31276,,"2,4,6-Tri-tert-butylphenol",0.23551,,Perfluorooctanoic acid,0.25719,,Benzo(K)Fluoranthene,0.47528,,Fluoranthene,0.24759
Fluoranthene,0.29236,,Fluoranthene,0.23532,,Fluoranthene,0.25102,,Benzo[a]pyrene,0.46812,,Phenanthrene,0.23588
Pyrene,0.2865,,Pyrene,0.23231,,Pyrene,0.22979,,Fluoranthene,0.45168,,"2,4,6-Tri-tert-butylphenol",0.21053
Phenanthrene,0.257,,Phenanthrene,0.22025,,Phenanthrene,0.1848,,Phenanthrene,0.4082,,Pyrene,0.19925
